Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C601676,TJ-S3227SW1TCGLC2R6B-A5,TOGIALED,1210,,"20mA 200mcd Red, Blue 1210 LED Indication - Discrete RoHS",yes,5,5,5,0.0808,0.40,https://www.lcsc.com/product-detail/C601676.html
2,C3206715,BK/1A5601-01,EATON,-,,Blade Clip 1 Fuseholders RoHS,yes,8,1,1,0.6844,5.48,https://www.lcsc.com/product-detail/C3206715.html
3,C492361,39300240,MOLEX,"Through Hole,Right Angle,P=4.2mm",,"24P 2x12P Tin -40℃~+105℃ White 4.2mm 600V 12 13A 2 4.2mm Right Angle Through Hole,Right Angle,P=4.2mm Headers, Male Pins RoHS",yes,1,1,1,9.9302,9.93,https://www.lcsc.com/product-detail/C492361.html
4,C471417,39281063,MOLEX,"Through Hole,P=4.2mm",,"6P 2x3P Tin -40℃~+105℃ White 4.2mm 600V 3 9A 2 Through Hole 4.2mm Through Hole,P=4.2mm Headers, Male Pins RoHS",yes,10,5,5,0.3774,3.77,https://www.lcsc.com/product-detail/C471417.html
5,C492401,PZ254V-11-02P,XFCN,"Through Hole,P=2.54mm",,"2P 1x2P Brass -40℃~+105℃ Black Pin Header 2.54mm 2.5mm 6mm 3mm 1 Through Hole Through Hole,P=2.54mm Headers, Male Pins RoHS",yes,50,50,50,0.0130,0.65,https://www.lcsc.com/product-detail/C492401.html
6,C293502,39281043,MOLEX,"Through Hole,P=4.2mm",,"4P 2x2P 4.2mm Brass 2 2 4.2mm Through Hole,P=4.2mm Headers, Male Pins RoHS",yes,5,5,5,0.2969,1.48,https://www.lcsc.com/product-detail/C293502.html
7,C17520,0805W8F2201T5E,UNI-ROYAL,0805,,125mW 2.2kΩ 150V ±100ppm/℃ Thick Film Resistor ±1% 0805 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0019,0.19,https://www.lcsc.com/product-detail/C17520.html
8,C3293151,DSIC01LSGET,kangshen,SMD,,"1 24V 25mA SPST 3,000 Cycles Black SMD DIP Switches/SIP Switches RoHS",yes,1,1,1,0.4241,0.42,https://www.lcsc.com/product-detail/C3293151.html
